Line #,Key,en Version,ka Translation
682,ka.layouts.explore_data.private_share_explanation,"You can copy and share the following URL with whomever you want to view '%{title}' even though your dataset is not shared with the public. These people will have the ability to explore your data, but not edit it.","თქვენ შეგიძლიათ დააკოპიროთ და გაუზიაროთ შემდეგი URL იმას , ვინც გსურთ რომ იხილოს '%{title}' იმ შემთხვევაშიც კი, თუ თქვენი მონაცემთა ცხრილი არ არის საჯაროდ გაზიარებული. ამ ადამიანებს ექნებათ საშუალება გაეცნონ თქვენს მონაცემებს, მაგრამ ვერ შეძლებენ მის შეცვლას და შესწორებას."
683,ka.layouts.unsupported_browser.title,Unsupported Browser,არასათანადო ბრაუზერი
684,ka.layouts.unsupported_browser.p1,We are sorry to report that your browser is out of date and will not properly render the content from this website.,სამწუხაროდ თქვენი ინტერნეტ ბრაუზერის მოხმარების ვადა გასულია და ვერ მოხდება ვებ-გვერდთან სრულად დაკავშირება.
685,ka.layouts.unsupported_browser.p2,"On the bright side, there are several free browsers that you can download that are compatible with this site.",არსებობს რამდენიმე უფასო ბრაუზერი რომელის გადმოწერის შემდეგ შეძლებთ ვებ-გვერდით სარგებლობას.
686,ka.layouts.unsupported_browser.chrome,Chrome,Chrome
687,ka.layouts.unsupported_browser.firefox,Firefox,Firefox
688,ka.layouts.unsupported_browser.ie,Internet Explorer (Windows only),Internet Explorer (მხოლოდ Windows-ზე)
689,ka.layouts.unsupported_browser.opera,Opera,Opera
690,ka.layouts.unsupported_browser.Safari,Safari,Safari
691,ka.admin.index.title,Administration Section,ადმინისტრატორის განყოფილება
692,ka.admin.index.users,Users,მომხმარებლები
693,ka.admin.index.page_contents,Edit Text on Site,საიტზე ტექსტის რედაქტირება
694,ka.admin.index.datasets,Datasets,მონაცემები
695,ka.admin.index.shapesets,Shapesets,ფორმების ცხრილი
696,ka.admin.index.api_documentation,API Version Documentation,API ვერსიის დოკუმენტაცია
697,ka.admin.index.download_api_requests,Download API Request History,API-ს მოთხოვნილი ისტორიის ჩამოტვირთვა
698,ka.admin.index.download_download_requests,Download Download Request History,მოთხოვნილი ისტორიის ჩამოტვირთვა
699,ka.admin.index.categories,Categories,კატეგორიები
700,ka.admin.users.edit.title,Editing User,ცვლილებების შეტანა მომხმარებლის გვერდზე
701,ka.admin.users.index.title,Users,მომხმარებლები
702,ka.admin.users.new.title,New User,ახალი მომხმარებელი
703,ka.admin.users.show.title,User Details,მომხმარებლის დეტალები
704,ka.devise.mailer.reset_password_instructions.subject,Xtraktr - Reset password instructions,Xtraktr - Reset password instructions
705,ka.devise.mailer.reset_password_instructions.title,Hello %{nickname} - ,"მოგესალმებით, %{nickname} - "
706,ka.devise.mailer.reset_password_instructions.p1,"Someone has requested a link to change your password on %{app_name}, and you can do this through the link below.","მივიღეთ მოთხოვნა '%{app_name}' თქვენი პაროლის შეცვლის შესახებ. პაროლის შესაცვლელად, მიჰყევით შემდეგ ბმულს."
707,ka.devise.mailer.reset_password_instructions.link_title,Change my password,პაროლის შეცვლა
708,ka.devise.mailer.reset_password_instructions.p2,"If you didn't request this, please ignore this email.","თუ თქვენ არ მოგითხოვიათ პაროლის შეცვლა, გთხოვთ, არ მიაქციოთ ყურადღება ამ შეტყობინებას."
709,ka.devise.mailer.reset_password_instructions.p3,Your password won't change until you access the link above and create a new one.,"თქვენი პაროლი იგივე დარჩება, სანამ არ გადახვალთ ზემოთ მითითებულ ბმულზე და შექმნით ახალ პაროლს."
710,ka.settings.index.title,User Settings,მომხმარებლის პარამეტრები
711,ka.settings.index.tabs.settings,Settings,პარამეტრები
712,ka.settings.index.tabs.api,API Access Tokens,API-ს დაშვების გასაღები
713,ka.settings.index.api_explanation1,"The API allows you to programmatically get information and run analyses on the datasets and time series available on this site. All API calls require an access token - a key that let's us know who is making the request. To get one, simply press the button below.","API საშუალებას გაძლევთ პროგრამულად მიიღოთ ინფორმაცია და ჩაატაროთ ანალიზი საიტზე არსებულ მონაცემთა ცხრილსა და პერიოდულ შედარებაში. API-ს ყველა გამოძაღება ითხოვს დაშვების გასაღებს, რომელიც გვამცნობს იმას, თუ ვინ აკეთებს მოთხოვნას. გამოძაღებისთვის უბრალოდ დააჭირეთ ქვემოთ მოცემულ ღილაკს."
714,ka.settings.index.api_link_text,API Documentation section,API-ს დოკუმენტაციის სექცია
715,ka.settings.index.api_explanation2,You can learn more about the API and how to use the Access Token by going to the [link].,[link]-ზე გადასვლით თქვენ შეგიძლია გაიგოთ მეტი API-ს და დაშვების გასაღების შესახებ. 
716,ka.settings.index.no_api_keys,You do not have any API Access Tokens on file.,თქვენ არ გაქვთ API-ს დაშვების გასაღები ან ფაილი
717,ka.settings.index.get_api,Get API Access Token,API-ს დაშვების გასაღების მიღება
718,ka.settings.index.delete_api,Delete API Access Token,API-ს დაშვების გასაღების წაშლა
719,ka.root.index.header_latest_datasets,Latest Datasets,უახლესი მონაცემები
720,ka.root.index.no_datasets,"At this time, no datasets have been loaded into the site.",ამ მომენტისთვის ვებ-გვერდზე არ ჩატვირთულა მონაცემთა ცხრილი
721,ka.root.index.header_latest_time_series,Latest Time Series,უახლესი პერიოდული შედარება
