Line #,Key,en Version,ka Translation
639,ka.questions.form.header_add_missing_answer,The following values are in the data but are not provided as one of the answers. <br/>Select a value to add it as an answer and have it included in the analysis.,The following values are in the data but are not provided as one of the answers. <br/>Select a value to add it as an answer and have it included in the analysis.
640,ka.questions.mass_changes.title,Mass Changes for Questions/Answers,Mass Changes for Questions/Answers
641,ka.questions.mass_changes.explanation,Use this page to upload a spreadsheet of Questions or Answers to quickly change the text or settings for many records at once.,Use this page to upload a spreadsheet of Questions or Answers to quickly change the text or settings for many records at once.
642,ka.questions.mass_changes.template,Template,Template
643,ka.questions.mass_changes.upload,Upload Your Spreadsheet of Changes,Upload Your Spreadsheet of Changes
644,ka.questions.mass_changes.questions.header,Questions,Questions
645,ka.questions.mass_changes.questions.template,Clicking the button below will download a template of all questions in this dataset. Make the desired changes in the spreadsheet and then use the form below to update your changes.,Clicking the button below will download a template of all questions in this dataset. Make the desired changes in the spreadsheet and then use the form below to update your changes.
646,ka.questions.mass_changes.questions.template2,The only columns that cannot be changed are: %{code},The only columns that cannot be changed are: %{code}
647,ka.questions.mass_changes.questions.template_link,Download Questions Template,Download Questions Template
648,ka.questions.mass_changes.questions.submit,Update Questions,Update Questions
649,ka.questions.mass_changes.answers.header,Answers,Answers
